subject,teacher,time_detail,all_colleges_registered,classroom
金融計算程式運用（一）,陳正暉,三FG,15,商館260313
金融科技概論,廖四郎,三567,27,炎成創新廳
投資銀行策略與實務,楊曉文,四D56,49,逸仙050101
貨幣理論與政策專題,趙世偉,五78,1,教室洽系所
財務經濟學（二）,趙世偉,一567,4,資訊140207
高等審計學,馬秀如、張祐慈,三234,30,商館260815
會計研究專題：人力資本評價,吳安妮,二8,1,教室洽系所
作業價值管理（AVM）（包含ESG）—企業實作與實習,吳安妮,四567,11,元大講堂
審計數據分析應用,陳俊光,二D56,42,商館260306
善用領導力促成永續治理,陳樹,一EFG,8,商館260815
會計專業之ESG浪潮解析,于紀隆,四234,61,逸仙050101
中國稅務與商務,徐曉婷,四D56,57,學思040202
策略管理（一）,李佳玲,三234,20,商館260102
會計研究方法導論,俞京和,二D56,20,商館260815
公司治理與財務報表,傅文芳,三D56,32,學思040302
會計專題研討（六）,黃政仁,一1,4,商館260815
政府財務報導,賴森本,二234,36,商館260815
管理個案研討,王文英,三234,5,商館260310
電腦審計,柯志賢,三567,15,商館260705
會計師業務實戰研討,柯志賢,四234,16,研究250201
鑑識會計,朱家德、朱德芳、馬秀如,五D56,5,商館260815
無形資產報導與評價,蘇瓜藤,三D56,13,商館260815
審計實務實習,俞洪昭,五AB,6,教室洽系所
國際租稅研究,廖哲莉,一D56,13,商館260815
高等數理統計,周珮婷,五234,32,商館260101
統計計算與模擬,余清祥,二234,29,商館260101
統計機器學習,張志浩,四234,8,商館260207
統計諮詢,吳漢銘,二D56,16,商館260101
書報討論,吳漢銘,一6,2,逸仙050101
研究方法（一）,吳漢銘,一D,29,逸仙050101
品質管制系統,楊素芬,三234,2,商館260101
研究方法（二）,吳漢銘,一5,26,逸仙050101
實驗設計,董奕賢,三D56,43,商館260101
人口統計,余清祥,三234,1,商館260206
應用機率模型,翁久幸,四34C,5,統計研討室
多變量分析,鄭宗記,四D56,12,商館260101
社會科學研究方法,許士軍,四234,6,商館260713
入學研究營,吳思華、吳靜吉、邱志聖、洪叔民、莊皓鈞、黃國峯,未定或彈性,3, 無資料
商學基礎理論與應用,巫立宇、邱奕嘉、黃家齊、黃國峯、鄭至甫,未定或彈性,3, 無資料
質性與個案研究方法,彭朱如,未定或彈性,3, 無資料
研究發表營,吳思華、吳豐祥、李曉惠、邱奕嘉、黃國峯、謝凱宇、羅明琇,未定或彈性,3, 無資料
質性研究論文研討,彭朱如,未定或彈性,1, 無資料
意義與意會專題研討,許書瑋,三7,3,商館260809
數位銀行與金融科技行銷,朴星俊,一D56,2,商館260709
微型企業策略研討（二）,郭曉玲、彭朱如,四234,1,商館260709
事業創新與智財策略,馮震宇、鄭至甫,未定或彈性,2, 無資料
策略管理理論,彭朱如、黃國峯、謝凱宇,未定或彈性,2, 無資料
組織領導學專題研討：理論與研究發展,許育瑋,四234,2,商館260809
組織理論專題研討（一）,黃國峯,二234,3,商館260809
企業診斷與顧問案例研討,黃國峯、羅明琇,未定或彈性,3, 無資料
新興資訊技術發展與應用,郁方、陳恭、蔡瑞煌、蕭舜文、簡士鎰,未定或彈性,2, 無資料
企業問題研討（三）,巫立宇,一EFG,1,教室洽系所
營運與供應鏈策略,洪叔民,四567,1,商館260809
營運與供應鏈管理專題研討（四）,羅明琇,一567,2,商館260809
管理理論專題研討,郭曉玲、黃國峯、謝凱宇,四D56,3,商館260709
國際企業管理研討,譚丹琪,五234,5,商館260709
消費者行為研討,朴星俊、別蓮蒂,三567,3,商館260709
策略性人力資源管理,黃家齊,二234,2,商館260709
專題研討,向倩儀,五56,6,商館260101
高等數量方法,李曉惠、莊皓鈞,二D56,1,商館260305
資訊系統研發,郁方、陳恭,一EFG,14,商館260313
進階資訊系統研發,蕭舜文,三D56,0, 無資料
IT策略與管理,洪為璽,四D56,41,商館260313
企業流程模式,李曉惠,五34,38,商館260102
論文寫作策略,張欣綠,四234,4,商館260304
入學研究營,吳思華、吳靜吉、邱志聖、洪叔民、莊皓鈞、黃國峯,未定或彈性,3, 無資料
