subject,teacher,time_detail,all_colleges_registered,classroom
初級德文聽力會話,蔡莫妮,二56,17,綜北270106
初級西文聽力會話,鄭燕玲,三34,26,研究250106
初級法文語法,舒卡夏,三56,28,研究250307
初級德文語法,姚紹基,三34,22,資訊140207
初級西文語法,古孟玄,二34,23,資訊140106
中級法文聽力會話,薛芬妮,二34,23,資訊140208
中級德文聽力會話,蔡莫妮,四56,21,研究250309
中級西文聽力會話,馬德睿,二56,18,綜南270309
中級法文語法,舒卡夏,三34,24,資訊140307
中級德文語法,姚紹基,二34,24,商館260310
中級西文語法,藍文君,三56,21,研究250309
法國文化概論,阮若缺,四34,22,綜北270305
德國文化概論,陳致宏,四34,22,綜北270107
西班牙文化概論,許玉燕,四56,18,綜北270206
進階法文聽力會話,薛芬妮,三34,21,綜北270102
進階德文聽力會話,黃逸龍,一56,20,研究250307
進階西文聽力會話,馬德睿,四34,21,綜北270303
法國文學概論,舒卡夏,二34,21,學思040303
德國文學概論,蔡莫妮,四78,19,研究250309
西班牙文學概論,楊瓊瑩,二56,22,研究250307
專業法文,阮若缺,三34,17,研究250419
專業德文,姚紹基,三56,13,學思040101
專業西文,楊瓊瑩,四34,17,研究250106
初級法文閱讀,李允安,四34,23,綜南270209
初級德文閱讀,徐安妮,二34,17,研究250306
初級西文閱讀,楊瓊瑩,四56,21,研究250307
初級法文應用,阮若缺,二34,22,研究250303
初級德文應用,許嘉眙,四34,18,學思040208
初級西文應用,藍文君,二56,21,綜北270303
中級法文閱讀,李允安,三56,23,學思040301
中級德文閱讀,徐安妮,二56,21,學思040107
中級西文閱讀,鄭燕玲,三12,22,研究250106
進階法文寫作,薛芬妮,四34,20,綜南270109
進階德文寫作,許嘉眙,五34,22,研究250204
進階西文寫作,藍文君,三34,21,綜北270305
專業西文檢定訓練B1+B2,馬德睿,二78,35,綜南270309
中級法文作文,樂詩涵,二56,19,綜北270107
專業法文檢定訓練（B2）,薛芬妮,三56,20,學思040306
德語系國家現代社會與文化變遷,許嘉眙,三78,10,研究250204
西語文學與電影,許玉燕,四78,0, 無資料
中級德文作文（二）,許嘉眙,三34,13,研究250102
初級德文語練（二）,許嘉眙,三56,10,研究250204
多媒體法文,樂詩涵,四56,8,綜北270107
中級西文作文,馬德睿,二34,25,研究250201
法國戲劇概論,薛芬妮,四78,15,資訊140104
專業法文翻譯,李允安,二56,13,逸仙050202
專業德文翻譯,徐安妮,三34,10,研究250420
專業西文會話,馬德睿,四56,11,綜北270303
新聞德文,黃逸龍,一78,7,研究250307
歐洲社會與歐盟政經問題,盧倩儀,五D56,61,研究250201
初級越語,陳氏梅仁,四56,21,季陶340406
初級越語會話,潘氏清,一12五34,18,季陶340302
中級越語,潘氏清,三56,24,學思040303
中級越語會話,陳氏梅仁,二56四34,25,綜南270308
越語聽力（一）,潘氏清,一56,21,研究250421
東南亞發展與治理,楊昊,五678,36,綜合中央大教室 (270751)
高級越語,潘氏清,二56,19,研究250204
東南亞政府與政治,孫采薇,一D56,10,綜南270416
初級越語語法,黎氏仁,三34,24,季陶340406
東南亞文化與英語口說及寫作 （Ⅱ）,張喁,三78E,11,研究250420
初級泰語,樊夏,一12,28,季陶340405
初級印尼語,吉詩葳,三34,21,季陶340516
初級印尼語會話,古薇拉,一12五34,19,季陶340401
東南亞經濟概論,黎氏仁,二234,80,資訊140301
中級泰語,李開發,二56,22,資訊140301
中級印尼語,吉詩葳,一56,21,學思040208
中級印尼語會話,古薇拉,二56四34,22,綜北270406
越語口譯,陳凰鳳,一56,7,研究250106
進階越語：經貿,潘氏清,二34,17,綜北270207
高級越語會話,陳氏梅仁,五56,18,研究250106
初級泰語聽力與會話,許望舒、陳瑞珠,三56五34,24,季陶340414百年330213
初級泰語語法與寫作,李開發,二34,26,百年330213
中級泰語聽力與會話,許望舒,一56三34,18,綜北270301
高級泰語,李開發,一56,12,學思040107
高級泰語會話,許望舒,二56五56,13,綜北270101研究250202
泰國現代文學,樊夏,三34,4,研究250302
進階泰語語法與寫作,許望舒,二34,8,逸仙050202
泰語口譯,劉小慧,四34,10,研究250420
初級印尼語語法與寫作,吉詩葳,四34,20,季陶340401
中級印尼語語法與寫作,古薇拉,三56,22,學思040104
高級印尼語,吉詩葳,五56,9,研究250302
高級印尼語會話,李平周,三34,7,綜北270302
印尼語應用文寫作,古薇拉,一56,5,研究250301
印尼語翻譯與口譯,曾秀情,四34,8,商館260209
應用越語,陳凰鳳,四56,9,資訊140107
應用泰語,李開發,四56,23,綜北270102
應用印尼語,吉詩葳,四56,26,綜南270108
探索泰南：普吉府的自然、農業與多元文化,李開發,未定或彈性,12, 無資料
中級越語寫作,潘氏清,四78,16,研究250421
進階越語：文化遺產,陳氏梅仁,三56,7,綜南270208
海外實習,李開發,未定或彈性,3, 無資料
東南亞的社會變革,黎氏仁,四567,17,資訊140207
新聞泰語,李開發,五34,0, 無資料
印尼語閱讀（三）,李平周,四78,19,研究250303
泰文閱讀（三）,劉小慧,四78,22,研究250424
泰文閱讀（一）,劉小慧,四56,22,研究250424
影視越語,潘氏清,四34,9,研究250102
中級越語,陳凰鳳,三567,3,大勇210102
印尼語閱讀（一）,李平周,三56,27,逸仙050202
東南亞表演藝術文化,樊夏,二78E,35,研究250102
文學理論與批評,趙順良,四234,14,商館260204
研究方法與論文寫作,余明忠,三1五56,10,井塘020110
網路時代語言教學議題深究,招靜琪,四234,7,國際360201
雙語、多語、跨語理論與教學,劉怡君,四D56,2,商館260305
艾密莉‧狄謹蓀專題,許立欣,三234,13,季陶340407
愛默生與惠特曼作品中的修身與群體,柯瑞強,三D56,9,研究250206
英文字彙教學,鍾曉芳,二234,10,商館260315
應用語言學專題：跨文化語用學與研究方法,余明忠,三78E,4,井塘020110
奇幻文學：當代科幻小說，幻想，恐怖,羅狼仁,二234,8,研究250424
莎士比亞與莎士比亞評論,施堂模,五234,6,季陶340304
統計與實驗設計,張晨恩,三D56,4,季陶340304
外語能力檢定,林蒔慧,未定或彈性,0, 無資料
近現代俄國文學研究,江杰翰,一D56,4,道藩320406
俄語語言學問題研究,柯瓊鎣,二CD5,2,道藩320406
俄羅斯文化專題：文學與藝術,陳美芬,三234,9,道藩320406
語意學,戴智偉,三234,14,季陶340315
語用學與語意處理,賴瑶鍈,三D56,16,百年330407
優選理論研究與寫作,蕭宇超,五CD5,2,季陶340315
語法化,郭岳鑫,二D56,11,季陶340315
二語及多語音韻習得,萬依萍,一12C,3,季陶340314
計算語言學,張瑜芸,五234,7,季陶340407
英文字彙教學,鍾曉芳,二234,2,商館260315
華語語音與音韻,蕭宇超,四CD5,3,季陶340315
漢語語意學,陳奕勳,三D56,0, 無資料
第二語言習得,黃瓊之,一D56,11,季陶340315
溝通之中的日語文法,葉秉杰,未定或彈性,10, 無資料
日本動漫研究,山藤夏郎,三78,6,研究250421
日語語彙文法研究,王淑琴,二34,1,季陶340304
日語教育學研究４,喬曉筠,一78,3,研究250420
