subject,teacher,time_detail,all_colleges_registered,classroom
民法（二）,吳秀明,四234,132,綜南270113
空間資料模型,范噶色,一78E,30,綜合270610
土地法（二）,戴秀雄,三234,146,綜合中央大教室 (270751)
貧窮經濟學專題,王信實,四D56,10,綜南270311
民族學,官大偉,四D56,48,綜南270409
台灣原住民語言—泰雅語,鄭光博,二56,10,綜南270208
台灣原住民語言—賽德克語,伊萬納威,一56,6,綜南270308
民族學研究方法與實作,高雅寧,三D56,37,綜南270311
博物館教育理論與實務,潘美璟,二678,11,綜南270408
博物館實習,陳乃華,四78,13,綜南270311
原住民族教育,王雅萍,三78E,15,綜南270111
博物館展覽設計與製作,張駿逸,三34,22,綜南270416
博物館實習,陳乃華,四78,0,綜南270311
中共政治發展,寇健文,二234,13,綜合270810
中共經濟發展理論與政策,劉致賢,一567,7,綜合270812
國際關係理論,張廖年仲,三34C,19,綜合270812
中國大陸社會轉型與變遷,王信賢,四567,19,綜合270812
政治發展理論,魏玫娟,二567,12,綜合270723
經濟發展理論,蘇昱璇,四234,11,綜合270723
東亞與南亞之民主與民主化,魏玫娟,三567,6,綜合270722
全球ESG及社會企業創新發展,王安亞,五5678,6,綜合270723
商業資料分析：R運算,侯佩妤,四D56,6,商館260714
營運與供應鏈管理,洪叔民,五567,39,炎成創新廳
營運與供應鏈管理,洪叔民,五567,6,炎成創新廳
智能供應鏈：趨勢與應用,羅明琇,四567,13,商館260712
電子商務實作研習,樓永堅,五234,1,商館260210
精實企業與管理實務研討,李易諭,二EFG,7,商館260205
數理統計學,張志浩,三D56,28,商館260306
用Python學財務計量,顏佑銘,二D56,41,商館260312
財務金融資訊分析,顏佑銘,三D56,38,商館260106
國際金融,林建秀,三234,59,商館260205
線性代數,薛慧敏,四D56,76,商館260106
數理統計學（一）,黃子銘,五234,99,商館260106
時間數列分析,張育瑋,四D56,62,商館260207
統計機器學習,張志浩,四234,27,商館260207
商業資料分析：R運算,侯佩妤,四D56,17,商館260714
智能供應鏈：趨勢與應用,羅明琇,四567,31,商館260712
電子商務實作研習,樓永堅,五234,28,商館260210
精實企業與管理實務研討,李易諭,二EFG,37,商館260205
資料庫管理,周致遠,一D56,66,商館260210
管理科學,周彥君、莊皓鈞,三78E,57,商館260210
程式設計二,林怡伶,二23,54,逸仙5樓資管電腦室
使用者體驗設計,簡士鎰,五D56,44,商館260205
機器學習與人工智慧個案實作,謝明華,三234,29,商館260311
金融科技趨勢與創新,王儷玲,二567,24,元大人文廳
財務金融資訊分析,顏佑銘,三D56,17,商館260106
高等審計學,馬秀如、張祐慈,三234,30,商館260815
作業價值管理（AVM）（包含ESG）—企業實作與實習,吳安妮,四567,11,元大講堂
審計數據分析應用,陳俊光,二D56,42,商館260306
善用領導力促成永續治理,陳樹,一EFG,8,商館260815
會計專業之ESG浪潮解析,于紀隆,四234,61,逸仙050101
中國稅務與商務,徐曉婷,四D56,57,學思040202
策略管理（一）,李佳玲,三234,20,商館260102
會計研究方法導論,俞京和,二D56,20,商館260815
公司治理與財務報表,傅文芳,三D56,32,學思040302
政府財務報導,賴森本,二234,36,商館260815
會計師業務實戰研討,柯志賢,四234,16,研究250201
鑑識會計,朱家德、朱德芳、馬秀如,五D56,5,商館260815
無形資產報導與評價,蘇瓜藤,三D56,13,商館260815
國際租稅研究,廖哲莉,一D56,13,商館260815
企業流程模式,李曉惠,五34,38,商館260102
使用者體驗設計,簡士鎰,五D56,21,商館260205
金融科技應用與實務,翁禮祺,二234,39,商館260206
機器學習與人工智慧個案實作,謝明華,三234,21,商館260311
金融科技趨勢與創新,王儷玲,二567,13,元大人文廳
智慧財產管理,莊弘鈺,一678,23,商館260201
創新經濟學與產業動態分析,許牧彥,四234,12,商館260914
動態競爭與創新研討,許牧彥,五234,2,商館260908
電視文化研究,柯裕棻,二567,26,綜南270410
傳播與社會,方念萱,二234,77,大勇210417
傳播與社會,游絲涵,二234,67,大勇210205
傳播與社會,張依萍,二234,64,研究250101
傳播與社會,江靜之,二234,75,大勇210206
傳播與當代思潮,柯裕棻,三234,78,大勇210105
傳播與當代思潮,康庭瑜,三234,61,綜南270111
傳播與當代思潮,黃俊銘,三234,62,資訊140206
傳播與當代思潮,謝杰廷,三234,64,資訊140201
資訊圖表與視覺化,李怡志,二567,95,大勇210106
當代電影理論,陳儒修,五D56,246,傳院劇場
傳播法規與倫理,盧建誌,四567,69,大勇210417
現代文選,林元輝,二567,27,傳播310311
創意與設計,鄭霈絨,一D56,31,大勇210315
紀實採寫,陳百齡,二567,23,綜南270209
基礎創意寫作,何昕明,五D56,32,資訊140205
基礎創意寫作,馬克明,五D56,30,資訊140307
英語語言學概論,徐嘉慧,二234,28,研究250102
英語語言學概論,賴惠玲,二234,41,季陶340402
文學作品讀法,吳敏華,一D56,44,季陶340409
文學作品讀法,邱彥彬,一D56,33,季陶340405
翻譯專題：翻譯理論,余淑慧,一D56,13,季陶340302
翻譯專題：新聞英文翻譯,陳國華,五D56,12,百年330108
逐/同步口譯,張郇慧,三234,17,季陶340309
詩歌選讀,許立欣,二D56,20,季陶340406
現代戲劇,姜翠芬,二234,11,資訊140104
初級俄語語法,張珮琪,四34,23,道藩320218
進階俄語：文學,江杰翰,四34,13,道藩320215
中級俄語語法,劉心華,三34四4,20,道藩320215道藩320113
中級俄語語法,柯瓊鎣,三4四12,23,道藩320112
應用俄語寫作,薩承科,三56,11,道藩320315
初級俄語會話,薩承科,五34,32,道藩320113
初級俄語會話,瓦列格夫,三34,24,百年330109
中級俄語會話,薩承科,二12四12,21,道藩320113
中級俄語會話,瓦列格夫,二12四34,19,百年330109
進階俄語會話,薩承科,三12五12,15,道藩320113
進階俄語會話,瓦列格夫,三12五12,20,百年330109
高階俄語會話,薩承科,四56,15,道藩320113
俄語寫作,薩承科,二56,19,道藩320112
俄語寫作,瓦列格夫,二56,21,百年330109
捷克國情概論：捷克社會的形成與建構,林蒔慧,四78,38,道藩320316
捷克人文與文化探索,赫萊娜,一78,16,道藩320313
俄羅斯飲食文化,吳佳靜,一56,20,道藩320218
捷克音樂,赫萊娜,二78,12,道藩320112
蘇聯及當代俄羅斯,趙竹成,四56,47,綜北270201
初級俄語視聽訓練（二）,張珮琪,三12,26,道藩320112
中級俄語口說訓練（二）,葉相林,四56,7,道藩320112
中級俄語閱讀訓練（二）,張瑞承,三56,22,道藩320113
初級俄語口說訓練（二）,張瑞承,四56,35,道藩320111
捷克文（三）,赫萊娜,一D56,2,道藩320313
波蘭文（一）,羅百德,二567,14,道藩320111
捷克文（二）,林蒔慧,一D56,14,研究250309
捷克文（一）,林蒔慧,二D56,12,道藩320316
俄語（一）,江杰翰,二234,7,道藩320218
俄語（二）,吳佳靜,四D56,6,商館260310
捷語會話（二）,赫萊娜,四D56,3,道藩320315
捷語會話（一）,赫萊娜,五34C,8,道藩320315
波語會話（一）,貝娜煦,一B12,2,道藩320314
波蘭文（三）,貝娜煦,一D56,2,道藩320315
波蘭文（二）,貝娜煦,二D56,7,道藩320113
俄語語音與語調,張瑞承,三78,33,道藩320113
初級日語,葉秉杰,二12四12,52,研究250201研究250105
日本專題研究Ａ２：語言,黑﨑貴史,三56,8,季陶340108
日本專題研究Ｂ２：文學,高啓豪,三34,23,季陶340302
日本專題研究Ｃ２：歷史文化,金想容,二56,22,季陶340405
日本名著選讀Ａ２：語言,喬曉筠,三56,20,研究250306
日本名著選讀Ｂ２：文學,高啓豪,四56,39,季陶340108
日本名著選讀Ｃ２：歷史文化,楊素霞,二56,11,研究250106
進階日譯中理論與實務２,王盈文,五34,8,研究250307
日本文學史２,高啓豪,四78,35,季陶340108
日語表現與創作２,山藤夏郎,三34,18,學思040107
日本近現代大眾文化史,金想容,三78,58,季陶340413
日譯中理論與實務２,王盈文,五12,16,研究250307
日本歷史２,楊素霞,一78,82,研究250206
大一土耳其語,李珮玲,二234,37,道藩320215
土耳其語視聽與會話（一）,艾睿哲、謝怡達,三234,16,道藩320217
土耳其語視聽與會話（一）,艾睿哲、謝怡達,三234,18,道藩320216
土耳其語翻譯,曾蘭雅,一CD,17,道藩320216
專業西文檢定訓練B1+B2,馬德睿,二78,35,綜南270309
中級法文作文,樂詩涵,二56,19,綜北270107
專業法文檢定訓練（B2）,薛芬妮,三56,20,學思040306
德語系國家現代社會與文化變遷,許嘉眙,三78,10,研究250204
西語文學與電影,許玉燕,四78,0, 無資料
中級德文作文（二）,許嘉眙,三34,13,研究250102
多媒體法文,樂詩涵,四56,8,綜北270107
中級西文作文,馬德睿,二34,25,研究250201
法國戲劇概論,薛芬妮,四78,15,資訊140104
專業法文翻譯,李允安,二56,13,逸仙050202
專業德文翻譯,徐安妮,三34,10,研究250420
專業西文會話,馬德睿,四56,11,綜北270303
新聞德文,黃逸龍,一78,7,研究250307
歐洲社會與歐盟政經問題,盧倩儀,五D56,61,研究250201
東南亞發展與治理,楊昊,五678,36,綜合中央大教室 (270751)
東南亞政府與政治,孫采薇,一D56,10,綜南270416
東南亞經濟概論,黎氏仁,二234,80,資訊140301
越語口譯,陳凰鳳,一56,7,研究250106
泰國現代文學,樊夏,三34,4,研究250302
泰語口譯,劉小慧,四34,10,研究250420
印尼語翻譯與口譯,曾秀情,四34,8,商館260209
新聞泰語,李開發,五34,0, 無資料
印尼語閱讀（三）,李平周,四78,19,研究250303
泰文閱讀（三）,劉小慧,四78,22,研究250424
泰文閱讀（一）,劉小慧,四56,22,研究250424
影視越語,潘氏清,四34,9,研究250102
印尼語閱讀（一）,李平周,三56,27,逸仙050202
東南亞表演藝術文化,樊夏,二78E,35,研究250102
語意學,戴智偉,三234,14,季陶340315
日本古典文法,鄭家瑜,四D56,0,研究250102
大學外文（四）：越南文,陳凰鳳,三567,6,大勇210102
大學外文（二）：俄語,江杰翰,二234,4,道藩320218
大學外文（二）：土耳其語,謝怡達,四D56,0, 無資料
大學外文（四）：法文,李立林,五567,23,學思040301
大學外文（四）：德文,許嘉眙,一D56,28,學思040202
大學外文（二）：泰文,譚華德,二D56,18,道藩320119
大學外文（二）：越南文,陳凰鳳,二567,14,大勇210104
大學外文（二）：越南文,陳凰鳳,五567,25,學思040107
大學外文（二）：韓語,羅際任,二D56,44,資訊140105
大學外文（二）：韓語,羅際任,三D56,49,資訊140105
大學外文（二）：韓語,羅際任,五D56,38,資訊140106
大學外文（四）：韓語,羅際任,二234,49,資訊140105
大學外文（二）：葡萄牙文,守般若,四D56,6,道藩320313
大學外文（二）：波蘭文,羅百德,二567,4,道藩320111
大學外文（二）：捷克文,林蒔慧,二D56,7,道藩320316
大學外文（四）：日文,詹兆雯,四D56,43,資訊140308
大學外文（四）：西班牙文,馬德睿,五D56,37,研究250206
大學外文（二）：西班牙文,李文康,三234,29,研究250101
大學外文（二）：西班牙文,李文康,三D56,56,研究250101
大學外文（二）：西班牙文,李文康,三78E,48,研究250101
大學外文（二）：西班牙文,李文康,四234,31,研究250101
大學外文（二）：西班牙文,李文康,四D56,55,研究250101
大學外文（二）：法文,李立林,二234,25,學思040103
大學外文（二）：法文,李立林,四234,25,學思040103
大學外文（二）：法文,李立林,四567,38,學思040107
大學外文（二）：法文,李立林,五234,29,學思040103
大學外文（二）：法文,羅清菁,三D56,39,資訊140106
大學外文（二）：德文,江世琳,二234,18,大勇210208
大學外文（二）：德文,江世琳,二D56,29,大勇210208
大學外文（二）：德文,江世琳,三234,22,大勇210208
大學外文（二）：德文,江世琳,四234,24,大勇210208
大學外文（二）：德文,江世琳,四D56,41,大勇210208
大學外文（二）：日文,詹兆雯,二234,35,學思040306
大學外文（二）：日文,詹兆雯,二D56,41,資訊140106
大學外文（二）：日文,詹兆雯,三234,44,研究250307
大學外文（二）：日文,詹兆雯,四234,47,研究250307
憲法,劉定基,一D56,82,大勇210206
憲法,廖元豪,一D56,97,大勇210202
憲法,張桐銳,一D56,30,大智190304
身分法,劉宏恩,三D56,40,大勇210206
身分法,戴瑀如,二234,113,大智190305
身分法,小林貴典,二234,93,大勇210202
行政法（二）,詹鎮榮,二56,93,大智190305
行政法（二）,傅玲靜,二56,70,大智190304
行政法（二）,吳秦雯,二56,79,大勇210202
刑法（二）,謝如媛,三234,83,大勇210202
刑法（二）,廖宜寧,三234,92,大勇210104
刑法（二）,陳志輝,三234,33,綜北270201
民法債編總論（一）,呂彥彬,二D56,97,大智190101
民法債編總論（一）,王千維,二D56,84,大勇210201
民法債編總論（一）,向明恩,二D56,81,大勇210206
美國法律檢索、分析與寫作（二）,朱德芳,未定或彈性,7, 無資料
英文契約導讀及撰寫（二）,顏玉明,未定或彈性,1, 無資料
刑事證據法專題研究（六）,楊雲驊、簡士淳,五78,3,綜合271411
日本民法入門,張韻琪,未定或彈性,8, 無資料
國際智慧財產權法專題研究（三）,陳龍昇、謝祥揚,四EF,0, 無資料
公益服務法律實習－共好文山計畫（二）,陳志輝,一12,15,綜合271407
原住民族行政及法規,吳秦雯,三D56,0,綜南270410
專題三：AI與治理,陳柏良,三234,8,大勇210205
英美契約法,何克,三EF,0, 無資料
專題三：AI與治理,陳柏良,三234,1,大勇210205
微積分,曾睿彬,二34四34,85,大智190204
線性代數,賴冠宇,二56四5,50,大智190204
高等微積分,陳隆奇,二34四34,58,志希070221
統計學,洪芷漪,三12五2,60,志希070221
數值分析,郭岳承,三D56,88,志希070221
隨機過程,洪芷漪,一567,60,大智190204
機器學習,曾正男,二D56,64,應數電腦室
發展心理學,黃啟泰,三D56,75,資訊140201
生命科學概論,陳紹寬,三234,48,資訊140106
數位系統導論,廖文宏,二D56,73,大仁200301
視訊壓縮,彭彥璁,四234,9,大仁200102
社群媒體資料分析,謝佩璇,五D56,24,大仁200106
神經退化及再生,趙知章,三D5,0, 無資料
量子計算,許琇娟,一78E,11,慎固800103
量子計算,許琇娟,一78E,1,慎固800103
普通物理學（二）,李傳睿,一78E,49,研究250105
電子電路學,蔡尚岳,三234,37,蓄養790401
電磁學（二）,許琇娟,五78E,11,研究250305
奈米科技導論,林宮玄,三EFG,19,商館260311
專題研究（一）,林瑜琤、許琇娟、陸行、彭彥璁、楊志開、蔡尚岳,未定或彈性,0, 無資料
藝術與科技教育,曾正男,二34,7,井塘020111
教育權研究,陳榮政,未定或彈性,8, 無資料
生物科技管理個案,詳備註、鄭菀瓊,一567,0,商館260909
專題三：大數據與社會分析,卞中佩,四234,0,國際360304
專題一：人類世與地緣政治,楊智元,三D56,1,研究250305
專題二：移民與全球化,歐子綺,五D56,17,國際360408
專題三：AI與治理,陳柏良,三234,16,大勇210205
專題一：人類世與地緣政治,楊智元,三D56,10,研究250305
專題三：大數據與社會分析,卞中佩,四234,18,國際360304
數位人文與AI,呂欣澤,二234,9,綜南270209
